,timestamp,T_out,month
1/1/21,0:00:00,-1.4,1
1/1/21,1:00:00,-1.3,1
1/1/21,2:00:00,-1.4,1
1/1/21,3:00:00,-1.7,1
1/1/21,4:00:00,-2,1
1/1/21,5:00:00,-2.6,1
1/1/21,6:00:00,-3.3,1
1/1/21,7:00:00,-3.7,1
1/1/21,8:00:00,-4,1
1/1/21,9:00:00,-4.3,1
1/1/21,10:00:00,-4.4,1
1/1/21,11:00:00,-4.5,1
1/1/21,12:00:00,-4.4,1
1/1/21,13:00:00,-3.8,1
1/1/21,14:00:00,-1.9,1
1/1/21,15:00:00,0.6,1
1/1/21,16:00:00,2.7,1
1/1/21,17:00:00,4.3,1
1/1/21,18:00:00,5.5,1
1/1/21,19:00:00,6.1,1
1/1/21,20:00:00,5.8,1
1/1/21,21:00:00,4.1,1
1/1/21,22:00:00,1.3,1
1/1/21,23:00:00,1.4,1
1/2/21,0:00:00,1.2,1
1/2/21,1:00:00,1,1
1/2/21,2:00:00,1,1
1/2/21,3:00:00,1,1
1/2/21,4:00:00,1,1
1/2/21,5:00:00,1.1,1
1/2/21,6:00:00,1.1,1
1/2/21,7:00:00,1,1
1/2/21,8:00:00,0.9,1
1/2/21,9:00:00,0.9,1
1/2/21,10:00:00,1,1
1/2/21,11:00:00,1.7,1
1/2/21,12:00:00,2.4,1
1/2/21,13:00:00,3.1,1
1/2/21,14:00:00,4.4,1
1/2/21,15:00:00,6.4,1
1/2/21,16:00:00,8.3,1
1/2/21,17:00:00,8.8,1
1/2/21,18:00:00,8.9,1
1/2/21,19:00:00,8.7,1
1/2/21,20:00:00,8.1,1
1/2/21,21:00:00,7.3,1
1/2/21,22:00:00,6.7,1
1/2/21,23:00:00,6.7,1
1/3/21,0:00:00,6.8,1
1/3/21,1:00:00,6.8,1
1/3/21,2:00:00,6.5,1
1/3/21,3:00:00,6.3,1
1/3/21,4:00:00,6.5,1
1/3/21,5:00:00,6.8,1
1/3/21,6:00:00,6.4,1
1/3/21,7:00:00,5.9,1
1/3/21,8:00:00,5.8,1
1/3/21,9:00:00,5.6,1
1/3/21,10:00:00,5.4,1
1/3/21,11:00:00,5.2,1
1/3/21,12:00:00,5,1
1/3/21,13:00:00,5,1
1/3/21,14:00:00,5.4,1
1/3/21,15:00:00,5.7,1
1/3/21,16:00:00,6.7,1
1/3/21,17:00:00,7.6,1
1/3/21,18:00:00,7.6,1
1/3/21,19:00:00,7.5,1
1/3/21,20:00:00,7.2,1
1/3/21,21:00:00,6.6,1
1/3/21,22:00:00,5.4,1
1/3/21,23:00:00,4.9,1
1/4/21,0:00:00,4.3,1
1/4/21,1:00:00,3.7,1
1/4/21,2:00:00,3,1
1/4/21,3:00:00,2.4,1
1/4/21,4:00:00,2,1
1/4/21,5:00:00,1.5,1
1/4/21,6:00:00,0.8,1
1/4/21,7:00:00,-0.3,1
1/4/21,8:00:00,-1.4,1
1/4/21,9:00:00,-1.5,1
1/4/21,10:00:00,-1.4,1
1/4/21,11:00:00,-1.4,1
1/4/21,12:00:00,-1.7,1
1/4/21,13:00:00,-1.4,1
1/4/21,14:00:00,-0.2,1
1/4/21,15:00:00,0.7,1
1/4/21,16:00:00,1.1,1
1/4/21,17:00:00,1.3,1
1/4/21,18:00:00,1.5,1
1/4/21,19:00:00,1.6,1
1/4/21,20:00:00,1.6,1
1/4/21,21:00:00,1,1
1/4/21,22:00:00,-0.2,1
1/4/21,23:00:00,-1,1
1/5/21,0:00:00,-1.5,1
1/5/21,1:00:00,-2.1,1
1/5/21,2:00:00,-3.1,1
1/5/21,3:00:00,-4.1,1
1/5/21,4:00:00,-4.3,1
1/5/21,5:00:00,-4.2,1
1/5/21,6:00:00,-4.3,1
1/5/21,7:00:00,-4.6,1
1/5/21,8:00:00,-4.9,1
1/5/21,9:00:00,-5,1
1/5/21,10:00:00,-4.5,1
1/5/21,11:00:00,-4.5,1
1/5/21,12:00:00,-4.5,1
1/5/21,13:00:00,-4.2,1
1/5/21,14:00:00,-2.4,1
1/5/21,15:00:00,0.2,1
1/5/21,16:00:00,2.6,1
1/5/21,17:00:00,4.5,1
1/5/21,18:00:00,5.8,1
1/5/21,19:00:00,6.8,1
1/5/21,20:00:00,6.9,1
1/5/21,21:00:00,5.8,1
1/5/21,22:00:00,4.3,1
1/5/21,23:00:00,3.9,1
1/6/21,0:00:00,3.5,1
1/6/21,1:00:00,2.4,1
1/6/21,2:00:00,0.8,1
1/6/21,3:00:00,-0.4,1
1/6/21,4:00:00,-1.4,1
1/6/21,5:00:00,-2,1
1/6/21,6:00:00,-2.9,1
1/6/21,7:00:00,-3.3,1
1/6/21,8:00:00,-3.6,1
1/6/21,9:00:00,-3.9,1
1/6/21,10:00:00,-4,1
1/6/21,11:00:00,-3.9,1
1/6/21,12:00:00,-4.3,1
1/6/21,13:00:00,-4.2,1
1/6/21,14:00:00,-2.8,1
1/6/21,15:00:00,-0.6,1
1/6/21,16:00:00,1.3,1
1/6/21,17:00:00,2.8,1
1/6/21,18:00:00,3.9,1
1/6/21,19:00:00,4.1,1
1/6/21,20:00:00,3.8,1
1/6/21,21:00:00,1.9,1
1/6/21,22:00:00,-0.3,1
1/6/21,23:00:00,-0.6,1
1/7/21,0:00:00,-0.7,1
1/7/21,1:00:00,-0.7,1
1/7/21,2:00:00,-0.7,1
1/7/21,3:00:00,-0.6,1
1/7/21,4:00:00,-0.5,1
1/7/21,5:00:00,-0.3,1
1/7/21,6:00:00,0,1
1/7/21,7:00:00,0.1,1
1/7/21,8:00:00,0.1,1
1/7/21,9:00:00,0,1
1/7/21,10:00:00,-0.1,1
1/7/21,11:00:00,-0.5,1
1/7/21,12:00:00,-1.2,1
1/7/21,13:00:00,-1.8,1
1/7/21,14:00:00,0.2,1
1/7/21,15:00:00,2.2,1
1/7/21,16:00:00,4.4,1
1/7/21,17:00:00,5.4,1
1/7/21,18:00:00,5.9,1
1/7/21,19:00:00,6,1
1/7/21,20:00:00,5.5,1
1/7/21,21:00:00,3.8,1
1/7/21,22:00:00,0.4,1
1/7/21,23:00:00,-0.5,1
1/8/21,0:00:00,0.3,1
1/8/21,1:00:00,0.4,1
1/8/21,2:00:00,0,1
1/8/21,3:00:00,-0.4,1
1/8/21,4:00:00,-0.7,1
1/8/21,5:00:00,-1.2,1
1/8/21,6:00:00,-2.3,1
1/8/21,7:00:00,-3,1
1/8/21,8:00:00,-3.4,1
1/8/21,9:00:00,-3.6,1
1/8/21,10:00:00,-4.2,1
1/8/21,11:00:00,-4.9,1
1/8/21,12:00:00,-5.8,1
1/8/21,13:00:00,-6.3,1
1/8/21,14:00:00,-5.8,1
1/8/21,15:00:00,-5,1
1/8/21,16:00:00,-4.2,1
1/8/21,17:00:00,-3.4,1
1/8/21,18:00:00,-2.8,1
1/8/21,19:00:00,-2.4,1
1/8/21,20:00:00,-2.5,1
1/8/21,21:00:00,-3,1
1/8/21,22:00:00,-4.5,1
1/8/21,23:00:00,-4.9,1
1/9/21,0:00:00,-4.9,1
1/9/21,1:00:00,-4.7,1
1/9/21,2:00:00,-4.5,1
1/9/21,3:00:00,-4.5,1
1/9/21,4:00:00,-4.7,1
1/9/21,5:00:00,-4.8,1
